Iteration,timestamp,event,time_s,cpu_before,cpu_after,mem_before,mem_after,client_ct_bytes,server_ct_bytes,total_packet_bytes
0,1764562454.7527382,server_kem_keygen,0.001536057,0.00,0.00,39694336,40382464,,800,800
0,1764562454.7991388,server_kem_keygen,0.000884103,0.00,0.00,39809024,40505344,,800,800
45,1764562478.7450523,kem_handshake,0.000018925|0.000016731|0.000036788,0.00,0.00,42786816,42786816,768,768,1536
46,1764562478.7461421,kem_handshake,0.000018555|0.000015629|0.000032761,0.00,0.00,42786816,42786816,768,768,1536
47,1764562478.7473462,kem_handshake,0.000022262|0.000016981|0.000036177,0.00,0.00,42786816,42786816,768,768,1536
48,1764562478.7485414,kem_handshake,0.000019275|0.000016511|0.000034414,0.00,0.00,42786816,42786816,768,768,1536
49,1764562478.7496126,kem_handshake,0.000018935|0.000015478|0.000032791,0.00,0.00,42786816,42786816,768,768,1536
50,1764562478.7507176,kem_handshake,0.000018734|0.000015108|0.000032941,0.00,0.00,42790912,42790912,768,768,1536
51,1764562478.7517743,kem_handshake,0.000018684|0.000015578|0.000032781,0.00,0.00,42790912,42790912,768,768,1536
52,1764562478.7528198,kem_handshake,0.000018013|0.000015088|0.000032891,0.00,0.00,42790912,42790912,768,768,1536
53,1764562478.7540429,kem_handshake,0.000018384|0.000015328|0.000032530,0.00,0.00,42790912,42790912,768,768,1536
54,1764562478.7551289,kem_handshake,0.000018535|0.000015749|0.000032490,0.00,0.00,42790912,42790912,768,768,1536
55,1764562478.7565436,kem_handshake,0.000050704|0.000026559|0.000053819,0.00,0.00,42790912,42790912,768,768,1536
56,1764562478.7584376,kem_handshake,0.000077894|0.000044221|0.000089335,0.00,0.00,42766336,42766336,768,768,1536
57,1764562478.7597833,kem_handshake,0.000022141|0.000017142|0.000033592,0.00,0.00,42766336,42766336,768,768,1536
58,1764562478.7608995,kem_handshake,0.000020318|0.000015579|0.000032781,0.00,0.00,42770432,42770432,768,768,1536
59,1764562478.7619817,kem_handshake,0.000019837|0.000015819|0.000032329,0.00,0.00,42774528,42774528,768,768,1536
60,1764562478.7631593,kem_handshake,0.000019276|0.000015559|0.000032991,0.00,14964.70,42778624,42778624,768,768,1536
61,1764562478.7644253,kem_handshake,0.000061093|0.000022432|0.000035225,0.00,0.00,42778624,42778624,768,768,1536
62,1764562478.765977,kem_handshake,0.000021790|0.000017632|0.000036047,0.00,0.00,42778624,42778624,768,768,1536
63,1764562478.7677093,kem_handshake,0.000078014|0.000040214|0.000083044,0.00,0.00,42795008,42795008,768,768,1536
64,1764562478.7691367,kem_handshake,0.000019366|0.000016200|0.000032791,0.00,0.00,42795008,42795008,768,768,1536
