Iteration,timestamp,client_keygen_s,client_enc_s,client_dec_s,server_enc_s,server_dec_s,server_sign_s,final_key_hex
24,1764450473.3230083,0.000027100,0.000019876,0.000082242,0.000084216,0.000090357,0.000109241,079e3e93efc1a5f9b25d810d0aa42fde6ebc9b80f0a7386a5b23064a77a2524a
25,1764450473.326273,0.000046185,0.000020759,0.000037279,0.000071512,0.000125822,0.000092060,9ffce2fee0900935040db3f6c6e6be906255634f1ef4b926a59e537d69148aa8
26,1764450473.3282225,0.000031889,0.000018354,0.000025627,0.000037670,0.000039042,0.000050654,a6ea76601527c158231d85943a53ecb8f9a9d458399efc83eaddc1b6679263d3
27,1764450473.3310277,0.000026169,0.000016050,0.000063427,0.000080078,0.000082463,0.000140048,330a479360119cf4c228e60b1f92fb945f2ecac3715f70b55fb1e26a858893d1
28,1764450473.3339043,0.000038301,0.000020749,0.000045003,0.000061734,0.000062075,0.000086109,b89b07fd1c18903d6570e8186586ccc1f3f341513f4cb9b1affb0fa66acb7b7e
29,1764450473.336596,0.000037930,0.000023153,0.000038621,0.000056134,0.000055573,0.000080939,8f33f5d2507cc7605bcd5a25d82f4878495a9a5ef9c05b29fd9f5f1ec5178d12
30,1764450473.3404236,0.000051445,0.000023934,0.000092100,0.000074768,0.000101748,0.000159184,c2e840d9e55da1c86232e9c2b4eb0310ffb2c63856e426202986386cf92d8a88
31,1764450473.3427427,0.000053619,0.000034674,0.000026709,0.000036598,0.000044492,0.000051455,a9411fe1b553188b0d7888cdd655c7ddb6bc5ff16ce205ad8e88c483073bf5fa
32,1764450473.344428,0.000024505,0.000015860,0.000027090,0.000029935,0.000032661,0.000042058,59655f6ea9e4d4bd15c0ea00344fee5de79ed8df7ace23c961f5c369a8f376eb
33,1764450473.347191,0.000037209,0.000018834,0.000038561,0.000111325,0.000068927,0.000146209,0d47ead140b5a37e199f7c32dbc928ace3a1760262a49f0be19ad9a5f35a58cc
34,1764450473.350753,0.000048620,0.000032530,0.000066293,0.000044392,0.000051485,0.000071332,c9e6c3e5b753d2661b846944f62fe8f3952453b4d8df876e76014d6e19f821e2
35,1764450473.3539398,0.000056344,0.000047477,0.000057807,0.000058318,0.000076882,0.000088924,b4099d0c810907e14ce3b279af5b29d291b2e5a64e1490fc607cdf545ef3d54b
36,1764450473.35674,0.000033933,0.000018905,0.000033642,0.000054571,0.000079597,0.000064730,5f2f31e26dd562ff9b23352e5360c712ca1f0747259a2a99651fe9fbbfbb32cc
37,1764450473.359767,0.000046025,0.000032350,0.000046646,0.000048590,0.000062525,0.000059700,ca0cd4fa7fe6178a5f99042c04bf146adb647038f7230cbd7472098f0d102d0d
38,1764450473.361945,0.000030005,0.000017242,0.000032269,0.000038220,0.000044111,0.000050733,1b15218fd84396a2912e5ddc6d2eb2eedf590294c0eedd93e47333e9cae42680
39,1764450473.36446,0.000034304,0.000020698,0.000047909,0.000040304,0.000048780,0.000053980,bf237f5fe797e24c79ce0e26b14769ce1fdd293ceac23081329a1f066a60d44e
40,1764450473.3668745,0.000033102,0.000017682,0.000083694,0.000038010,0.000041727,0.000049762,5eacaad310079fc5e984fb74157755f0d0b500d8911ed4c319cba8144d95c212
41,1764450473.3701975,0.000065121,0.000028873,0.000051295,0.000077152,0.000079146,0.000121685,51a799d1dad96fd842ddb2bf4976a3980d9feb28013563f34a2e47fcd04a117e
42,1764450473.373079,0.000052737,0.000051054,0.000060852,0.000036668,0.000044151,0.000051305,73536a2280273e9f73236da5af35ea3133e85b681f1245f62cf5db0909138172
43,1764450473.3755505,0.000037980,0.000025758,0.000025016,0.000055332,0.000054140,0.000079898,947d28d95a1761da0e2e5f8578c18eae49bc8333605c18743dfbe311ed0bd0b8
44,1764450473.3778539,0.000024125,0.000015699,0.000039463,0.000058598,0.000060722,0.000087631,cde08f14f338dd031bdb8a7c490606c97769169f2b3b7013ecf5b8857e325de2
45,1764450473.3814073,0.000038391,0.000027791,0.000070771,0.000056825,0.000092361,0.000118258,066451db3582225d0ca2ee054c3d08135e798199ff7a2db19756cd7c3af0d1c1
46,1764450473.3835268,0.000043089,0.000018504,0.000023854,0.000038351,0.000043400,0.000051615,153f88256759dda7238f6e96f85ed7c844b0ef1c66e541ef82737d4631a528c9
47,1764450473.385053,0.000023824,0.000015469,0.000026269,0.000028042,0.000030847,0.000038571,22475c7e6f1858d4d6ce97a01f375152ecf161741692cedeeb6d33f544e77160
48,1764450473.3876288,0.000024736,0.000015639,0.000051755,0.000077664,0.000070380,0.000157851,03b3b5574d092331a0d64ce36d7642e010021136d2cce91f4465a55c43344ba3
49,1764450473.3905158,0.000032079,0.000019226,0.000059650,0.000067154,0.000074998,0.000098081,2bd35c448527d35365a49b1c99b6643a7eb6e88947949a9dfa6bb0f5fef2a62c
50,1764450473.3937733,0.000056365,0.000033462,0.000028452,0.000065781,0.000073405,0.000079186,beaee943acbdfd8959f090179823aabcbcd25f4e3b2a6dd3a2c65d87eb1779f8
51,1764450473.3969758,0.000040264,0.000040415,0.000059310,0.000063036,0.000084156,0.000096809,01b5adbd13c769cc062e7492340cf7ed88c422d85a5137a864edef645d704e96
52,1764450473.399655,0.000039022,0.000018304,0.000037158,0.000044743,0.000054291,0.000060001,d2c5f7d0d3ef3466390b1646def555c6c90866ab1bd14c88e54c12ee56b31dc8
53,1764450473.4017982,0.000026589,0.000016050,0.000022311,0.000033051,0.000034984,0.000075299,ac695da962e670de1c8aa3b53defdb27da9f2a10a76ac5e7b34e026a43d4e9d6
