Iteration,timestamp,event,time_s,cpu_before,cpu_after,mem_before,mem_after,client_ct_bytes,server_ct_bytes,total_packet_bytes
33,1764450473.3463264,kem_handshake,0.000068927|0.000111325|0.000146209,0.00,0.00,43474944,43474944,768,768,1536
34,1764450473.3495429,kem_handshake,0.000051485|0.000044392|0.000071332,0.00,0.00,43474944,43474944,768,768,1536
35,1764450473.353216,kem_handshake,0.000076882|0.000058318|0.000088924,0.00,0.00,43474944,43474944,768,768,1536
36,1764450473.3559785,kem_handshake,0.000079597|0.000054571|0.000064730,0.00,0.00,43474944,43474944,768,768,1536
37,1764450473.3590224,kem_handshake,0.000062525|0.000048590|0.000059700,0.00,0.00,43474944,43474944,768,768,1536
38,1764450473.3613691,kem_handshake,0.000044111|0.000038220|0.000050733,0.00,0.00,43474944,43474944,768,768,1536
39,1764450473.3637583,kem_handshake,0.000048780|0.000040304|0.000053980,0.00,0.00,43474944,43474944,768,768,1536
40,1764450473.366018,kem_handshake,0.000041727|0.000038010|0.000049762,0.00,0.00,43474944,43474944,768,768,1536
41,1764450473.3693442,kem_handshake,0.000079146|0.000077152|0.000121685,0.00,0.00,43474944,43474944,768,768,1536
42,1764450473.3722248,kem_handshake,0.000044151|0.000036668|0.000051305,0.00,0.00,43474944,43474944,768,768,1536
43,1764450473.3749492,kem_handshake,0.000054140|0.000055332|0.000079898,0.00,0.00,43474944,43474944,768,768,1536
44,1764450473.3772528,kem_handshake,0.000060722|0.000058598|0.000087631,0.00,0.00,43479040,43479040,768,768,1536
45,1764450473.3802516,kem_handshake,0.000092361|0.000056825|0.000118258,0.00,0.00,43483136,43483136,768,768,1536
46,1764450473.383021,kem_handshake,0.000043400|0.000038351|0.000051615,0.00,0.00,43483136,43483136,768,768,1536
47,1764450473.38463,kem_handshake,0.000030847|0.000028042|0.000038571,0.00,0.00,43483136,43483136,768,768,1536
48,1764450473.3868191,kem_handshake,0.000070380|0.000077664|0.000157851,0.00,0.00,43483136,43483136,768,768,1536
49,1764450473.3896759,kem_handshake,0.000074998|0.000067154|0.000098081,0.00,0.00,43487232,43487232,768,768,1536
50,1764450473.3931453,kem_handshake,0.000073405|0.000065781|0.000079186,0.00,0.00,43487232,43487232,768,768,1536
51,1764450473.3960063,kem_handshake,0.000084156|0.000063036|0.000096809,0.00,0.00,43491328,43491328,768,768,1536
52,1764450473.3990052,kem_handshake,0.000054291|0.000044743|0.000060001,0.00,0.00,43491328,43491328,768,768,1536
53,1764450473.4012387,kem_handshake,0.000034984|0.000033051|0.000075299,0.00,0.00,43491328,43491328,768,768,1536
54,1764450473.4030762,kem_handshake,0.000041256|0.000032560|0.000047097,0.00,0.00,43491328,43491328,768,768,1536
