Iteration,timestamp,event,time_s,cpu_before,cpu_after,mem_before,mem_after,client_ct_bytes,server_ct_bytes,total_packet_bytes
221,1764450473.8777795,kem_handshake,0.000069248|0.000053599|0.000090157,0.00,0.00,43606016,43606016,768,768,1536
222,1764450473.8808455,kem_handshake,0.000060202|0.000053699|0.000114411,0.00,0.00,43606016,43606016,768,768,1536
223,1764450473.8837326,kem_handshake,0.000049432|0.000036798|0.000080579,0.00,0.00,43606016,43606016,768,768,1536
224,1764450473.8860831,kem_handshake,0.000057316|0.000058258|0.000090167,0.00,0.00,43606016,43606016,768,768,1536
225,1764450473.88891,kem_handshake,0.000085808|0.000068266|0.000107648,0.00,0.00,43606016,43606016,768,768,1536
226,1764450473.891746,kem_handshake,0.000057186|0.000057757|0.000076842,0.00,0.00,43606016,43606016,768,768,1536
227,1764450473.893573,kem_handshake,0.000045023|0.000075509|0.000069608,0.00,0.00,43606016,43606016,768,768,1536
228,1764450473.8955846,kem_handshake,0.000043571|0.000037659|0.000061804,0.00,0.00,43606016,43606016,768,768,1536
229,1764450473.8985176,kem_handshake,0.000077543|0.000064650|0.000087231,0.00,0.00,43606016,43606016,768,768,1536
230,1764450473.9015403,kem_handshake,0.000068497|0.000064469|0.000074558,0.00,0.00,43606016,43606016,768,768,1536
231,1764450473.9032946,kem_handshake,0.000035115|0.000031068|0.000041827,0.00,0.00,43606016,43606016,768,768,1536
232,1764450473.9054067,kem_handshake,0.000062195|0.000037650|0.000059931,0.00,0.00,43606016,43606016,768,768,1536
233,1764450473.9081314,kem_handshake,0.000083925|0.000079427|0.000132766,0.00,0.00,43606016,43606016,768,768,1536
234,1764450473.9103088,kem_handshake,0.000072133|0.000038201|0.000040504,0.00,0.00,43606016,43606016,768,768,1536
235,1764450473.9125538,kem_handshake,0.000044863|0.000045694|0.000119701,0.00,0.00,43606016,43606016,768,768,1536
236,1764450473.9146876,kem_handshake,0.000051785|0.000040414|0.000073797,0.00,0.00,43606016,43606016,768,768,1536
237,1764450473.9166603,kem_handshake,0.000035746|0.000031478|0.000041186,0.00,0.00,43606016,43606016,768,768,1536
238,1764450473.9187639,kem_handshake,0.000058668|0.000060502|0.000102890,0.00,0.00,43606016,43606016,768,768,1536
239,1764450473.9218917,kem_handshake,0.000072514|0.000057877|0.000095707,0.00,5558.90,43606016,43606016,768,768,1536
240,1764450473.92443,kem_handshake,0.000035205|0.000033391|0.000047758,0.00,0.00,43606016,43606016,768,768,1536
241,1764450473.92634,kem_handshake,0.000047688|0.000037289|0.000054932,0.00,0.00,43606016,43606016,768,768,1536
242,1764450473.9277644,kem_handshake,0.000022271|0.000024565|0.000034744,0.00,0.00,43606016,43606016,768,768,1536
243,1764450473.9294553,kem_handshake,0.000042729|0.000051004|0.000072504,0.00,0.00,43606016,43606016,768,768,1536
244,1764450473.9318404,kem_handshake,0.000056304|0.000042619|0.000077443,0.00,0.00,43606016,43606016,768,768,1536
245,1764450473.9345248,kem_handshake,0.000065460|0.000064339|0.000081371,0.00,0.00,43606016,43606016,768,768,1536
246,1764450473.9368255,kem_handshake,0.000062085|0.000081501|0.000102930,0.00,0.00,43606016,43606016,768,768,1536
247,1764450473.9393506,kem_handshake,0.000078004|0.000109372|0.000069348,0.00,0.00,43606016,43606016,768,768,1536
248,1764450473.9423897,kem_handshake,0.000074958|0.000075840|0.000179381,0.00,0.00,43606016,43606016,768,768,1536
249,1764450473.9454985,kem_handshake,0.000089435|0.000070179|0.000114551,0.00,0.00,43606016,43606016,768,768,1536
250,1764450473.9485228,kem_handshake,0.000095587|0.000062977|0.000089385,0.00,0.00,43606016,43606016,768,768,1536
251,1764450473.9518056,kem_handshake,0.000085548|0.000071442|0.000107028,0.00,0.00,43606016,43606016,768,768,1536
252,1764450473.9539552,kem_handshake,0.000060592|0.000055452|0.000106727,0.00,0.00,43606016,43606016,768,768,1536
253,1764450473.9566417,kem_handshake,0.000069188|0.000067725|0.000099854,0.00,0.00,43606016,43606016,768,768,1536
254,1764450473.9586952,kem_handshake,0.000032981|0.000030917|0.000040515,0.00,0.00,43606016,43606016,768,768,1536
255,1764450473.9606633,kem_handshake,0.000052517|0.000056935|0.000104082,0.00,0.00,43606016,43606016,768,768,1536
256,1764450473.9640298,kem_handshake,0.000070159|0.000083534|0.000114231,0.00,0.00,43606016,43606016,768,768,1536
257,1764450473.9670992,kem_handshake,0.000092270|0.000087542|0.000142303,0.00,0.00,43606016,43606016,768,768,1536
258,1764450473.9694717,kem_handshake,0.000043591|0.000049351|0.000068496,0.00,0.00,43606016,43606016,768,768,1536
259,1764450473.971116,kem_handshake,0.000033532|0.000031358|0.000047107,0.00,0.00,43606016,43606016,768,768,1536
260,1764450473.9734108,kem_handshake,0.000081330|0.000064399|0.000094434,0.00,0.00,43606016,43606016,768,768,1536
261,1764450473.9757888,kem_handshake,0.000048059|0.000053889|0.000071672,0.00,0.00,43606016,43606016,768,768,1536
262,1764450473.9777389,kem_handshake,0.000053369|0.000053830|0.000075930,0.00,0.00,43606016,43606016,768,768,1536
263,1764450473.9802566,kem_handshake,0.000060983|0.000051455|0.000056464,0.00,0.00,43606016,43606016,768,768,1536
264,1764450473.9828646,kem_handshake,0.000085678|0.000044903|0.000053339,0.00,0.00,43606016,43606016,768,768,1536
265,1764450473.984881,kem_handshake,0.000044793|0.000037459|0.000051996,0.00,0.00,43606016,43606016,768,768,1536
266,1764450473.9874344,kem_handshake,0.000038421|0.000035595|0.000061043,0.00,0.00,43606016,43606016,768,768,1536
267,1764450473.989683,kem_handshake,0.000050574|0.000043119|0.000074698,0.00,0.00,43606016,43606016,768,768,1536
268,1764450473.992041,kem_handshake,0.000035275|0.000036528|0.000052046,0.00,0.00,43606016,43606016,768,768,1536
269,1764450473.994301,kem_handshake,0.000066263|0.000067234|0.000085948,0.00,0.00,43606016,43606016,768,768,1536
270,1764450473.9970043,kem_handshake,0.000054801|0.000057065|0.000134949,0.00,0.00,43606016,43606016,768,768,1536
271,1764450473.9999068,kem_handshake,0.000044332|0.000037489|0.000053729,0.00,0.00,43606016,43606016,768,768,1536
272,1764450474.002195,kem_handshake,0.000046325|0.000050753|0.000079226,0.00,0.00,43606016,43606016,768,768,1536
273,1764450474.0049837,kem_handshake,0.000070149|0.000072233|0.000111065,0.00,0.00,43606016,43606016,768,768,1536
274,1764450474.0083141,kem_handshake,0.000058578|0.000045294|0.000065742,0.00,0.00,43606016,43606016,768,768,1536
275,1764450474.010741,kem_handshake,0.000036257|0.000031508|0.000045124,0.00,0.00,43606016,43606016,768,768,1536
276,1764450474.0129213,kem_handshake,0.000073055|0.000056685|0.000101938,0.00,0.00,43606016,43606016,768,768,1536
277,1764450474.0156019,kem_handshake,0.000049071|0.000042138|0.000073015,0.00,7397.00,43606016,43606016,768,768,1536
278,1764450474.017759,kem_handshake,0.000030366|0.000030377|0.000044251,0.00,0.00,43606016,43606016,768,768,1536
279,1764450474.0197017,kem_handshake,0.000049621|0.000055142|0.000075289,0.00,0.00,43606016,43606016,768,768,1536
280,1764450474.02228,kem_handshake,0.000050904|0.000049923|0.000076041,0.00,0.00,43606016,43606016,768,768,1536
281,1764450474.024501,kem_handshake,0.000034083|0.000031818|0.000042950,0.00,0.00,43606016,43606016,768,768,1536
282,1764450474.026055,kem_handshake,0.000026479|0.000026379|0.000038571,0.00,0.00,43606016,43606016,768,768,1536
283,1764450474.0283513,kem_handshake,0.000062425|0.000059851|0.000079897,0.00,0.00,43606016,43606016,768,768,1536
284,1764450474.0303853,kem_handshake,0.000038922|0.000033853|0.000054200,0.00,0.00,43606016,43606016,768,768,1536
285,1764450474.032532,kem_handshake,0.000047478|0.000046636|0.000059821,0.00,0.00,43606016,43606016,768,768,1536
286,1764450474.0342164,kem_handshake,0.000030466|0.000030145|0.000040846,0.00,0.00,43606016,43606016,768,768,1536
287,1764450474.0364199,kem_handshake,0.000069758|0.000059009|0.000082973,0.00,0.00,43606016,43606016,768,768,1536
288,1764450474.0387518,kem_handshake,0.000045914|0.000039403|0.000077302,0.00,0.00,43606016,43606016,768,768,1536
289,1764450474.0408564,kem_handshake,0.000036197|0.000036017|0.000077113,0.00,0.00,43606016,43606016,768,768,1536
290,1764450474.0437944,kem_handshake,0.000081300|0.000058598|0.000092481,0.00,0.00,43606016,43606016,768,768,1536
291,1764450474.0468934,kem_handshake,0.000098162|0.000069649|0.000109793,0.00,0.00,43606016,43606016,768,768,1536
292,1764450474.051043,kem_handshake,0.000095907|0.000074327|0.000113499,0.00,0.00,43606016,43606016,768,768,1536
293,1764450474.0540164,kem_handshake,0.000066793|0.000060101|0.000075188,0.00,0.00,43606016,43606016,768,768,1536
294,1764450474.0561774,kem_handshake,0.000051194|0.000054912|0.000085087,0.00,0.00,43606016,43606016,768,768,1536
295,1764450474.0591922,kem_handshake,0.000049150|0.000043670|0.000091048,0.00,0.00,43606016,43606016,768,768,1536
296,1764450474.0617185,kem_handshake,0.000045925|0.000052387|0.000075038,0.00,0.00,43606016,43606016,768,768,1536
297,1764450474.0641985,kem_handshake,0.000082372|0.000062906|0.000122696,0.00,0.00,43606016,43606016,768,768,1536
298,1764450474.0667121,kem_handshake,0.000042589|0.000039092|0.000049952,0.00,0.00,43606016,43606016,768,768,1536
299,1764450474.0689461,kem_handshake,0.000041978|0.000036497|0.000054540,0.00,0.00,43606016,43606016,768,768,1536
300,1764450474.0711179,kem_handshake,0.000063407|0.000060552|0.000097961,0.00,0.00,43606016,43606016,768,768,1536
301,1764450474.0745177,kem_handshake,0.000076822|0.000054631|0.000069027,0.00,0.00,43606016,43606016,768,768,1536
302,1764450474.0772083,kem_handshake,0.000057997|0.000058287|0.000100095,0.00,0.00,43606016,43606016,768,768,1536
303,1764450474.080222,kem_handshake,0.000093773|0.000073085|0.000125852,0.00,0.00,43606016,43606016,768,768,1536
304,1764450474.0836375,kem_handshake,0.000085938|0.000064178|0.000089676,0.00,0.00,43606016,43606016,768,768,1536
305,1764450474.0858274,kem_handshake,0.000053569|0.000056203|0.000078275,0.00,0.00,43606016,43606016,768,768,1536
306,1764450474.0881457,kem_handshake,0.000063818|0.000057586|0.000105645,0.00,0.00,43606016,43606016,768,768,1536
307,1764450474.091278,kem_handshake,0.000063357|0.000071061|0.000053588,0.00,0.00,43606016,43606016,768,768,1536
308,1764450474.0930321,kem_handshake,0.000039052|0.000034013|0.000044122,0.00,0.00,43606016,43606016,768,768,1536
309,1764450474.0956757,kem_handshake,0.000068357|0.000052867|0.000099383,0.00,0.00,43606016,43606016,768,768,1536
310,1764450474.0991929,kem_handshake,0.000061674|0.000047939|0.000071412,0.00,0.00,43606016,43606016,768,768,1536
311,1764450474.1018903,kem_handshake,0.000091760|0.000077613|0.000118148,0.00,0.00,43606016,43606016,768,768,1536
312,1764450474.10425,kem_handshake,0.000077994|0.000068838|0.000124419,0.00,0.00,43606016,43606016,768,768,1536
313,1764450474.1067548,kem_handshake,0.000051966|0.000044061|0.000062806,0.00,0.00,43606016,43606016,768,768,1536
314,1764450474.1090531,kem_handshake,0.000031067|0.000030556|0.000038280,0.00,0.00,43606016,43606016,768,768,1536
315,1764450474.1110497,kem_handshake,0.000055983|0.000057776|0.000079597,0.00,0.00,43606016,43606016,768,768,1536
316,1764450474.1136441,kem_handshake,0.000090347|0.000070339|0.000129609,0.00,0.00,43606016,43606016,768,768,1536
317,1764450474.1167617,kem_handshake,0.000065240|0.000061313|0.000095166,0.00,0.00,43606016,43606016,768,768,1536
318,1764450474.118944,kem_handshake,0.000038732|0.000031488|0.000058959,0.00,0.00,43606016,43606016,768,768,1536
319,1764450474.1212628,kem_handshake,0.000080759|0.000088172|0.000092571,0.00,0.00,43606016,43606016,768,768,1536
320,1764450474.12377,kem_handshake,0.000052407|0.000043300|0.000075790,0.00,0.00,43606016,43606016,768,768,1536
321,1764450474.1266954,kem_handshake,0.000050273|0.000053148|0.000100486,0.00,0.00,43606016,43606016,768,768,1536
322,1764450474.1287825,kem_handshake,0.000037118|0.000035226|0.000098802,0.00,0.00,43606016,43606016,768,768,1536
323,1764450474.1320155,kem_handshake,0.000065281|0.000051455|0.000088002,0.00,0.00,43606016,43606016,768,768,1536
324,1764450474.1340642,kem_handshake,0.000036658|0.000032861|0.000043961,0.00,0.00,43606016,43606016,768,768,1536
325,1764450474.136144,kem_handshake,0.000033753|0.000052146|0.000050123,0.00,0.00,43606016,43606016,768,768,1536
326,1764450474.1401176,kem_handshake,0.000090978|0.000075569|0.000128487,0.00,0.00,43606016,43606016,768,768,1536
327,1764450474.143061,kem_handshake,0.000060402|0.000050453|0.000084566,0.00,0.00,43606016,43606016,768,768,1536
328,1764450474.1463997,kem_handshake,0.000084917|0.000066373|0.000055312,0.00,0.00,43606016,43606016,768,768,1536
329,1764450474.1492548,kem_handshake,0.000075971|0.000067354|0.000126714,0.00,0.00,43606016,43606016,768,768,1536
330,1764450474.1520746,kem_handshake,0.000037689|0.000032029|0.000050483,0.00,0.00,43606016,43606016,768,768,1536
331,1764450474.1542604,kem_handshake,0.000069919|0.000065601|0.000116755,0.00,0.00,43606016,43606016,768,768,1536
332,1764450474.1570387,kem_handshake,0.000064258|0.000051756|0.000097049,0.00,0.00,43606016,43606016,768,768,1536
333,1764450474.1594086,kem_handshake,0.000046335|0.000084656|0.000071582,0.00,0.00,43606016,43606016,768,768,1536
334,1764450474.162544,kem_handshake,0.000062285|0.000067044|0.000135410,0.00,0.00,43606016,43606016,768,768,1536
335,1764450474.1656458,kem_handshake,0.000044342|0.000037389|0.000083033,0.00,7911.80,43606016,43606016,768,768,1536
336,1764450474.168446,kem_handshake,0.000056455|0.000056835|0.000077814,0.00,0.00,43606016,43606016,768,768,1536
337,1764450474.1701398,kem_handshake,0.000025647|0.000026649|0.000037249,0.00,0.00,43606016,43606016,768,768,1536
338,1764450474.172337,kem_handshake,0.000059720|0.000049101|0.000083624,0.00,0.00,43606016,43606016,768,768,1536
339,1764450474.175388,kem_handshake,0.000043821|0.000039443|0.000077112,0.00,0.00,43606016,43606016,768,768,1536
340,1764450474.177515,kem_handshake,0.000041567|0.000044442|0.000045504,0.00,0.00,43606016,43606016,768,768,1536
341,1764450474.1809702,kem_handshake,0.000056685|0.000048771|0.000108239,0.00,0.00,43606016,43606016,768,768,1536
342,1764450474.183609,kem_handshake,0.000044762|0.000038952|0.000053599,0.00,0.00,43606016,43606016,768,768,1536
343,1764450474.18623,kem_handshake,0.000060933|0.000061063|0.000097831,0.00,0.00,43606016,43606016,768,768,1536
344,1764450474.1895523,kem_handshake,0.000058488|0.000049882|0.000061904,0.00,0.00,43606016,43606016,768,768,1536
345,1764450474.1926997,kem_handshake,0.000104833|0.000087272|0.000128617,0.00,0.00,43606016,43606016,768,768,1536
346,1764450474.1949673,kem_handshake,0.000057627|0.000053299|0.000075019,0.00,0.00,43606016,43606016,768,768,1536
347,1764450474.1981282,kem_handshake,0.000088202|0.000050513|0.000090887,0.00,0.00,43606016,43606016,768,768,1536
348,1764450474.2009473,kem_handshake,0.000053809|0.000040244|0.000062766,0.00,0.00,43606016,43606016,768,768,1536
349,1764450474.2038991,kem_handshake,0.000049361|0.000035605|0.000069839,0.00,0.00,43606016,43606016,768,768,1536
350,1764450474.2075686,kem_handshake,0.000206671|0.000108050|0.000132815,0.00,2217.90,43606016,43606016,768,768,1536
351,1764450474.2106528,kem_handshake,0.000061594|0.000058899|0.000092701,0.00,0.00,43606016,43606016,768,768,1536
352,1764450474.2131505,kem_handshake,0.000043620|0.000038842|0.000072274,0.00,0.00,43606016,43606016,768,768,1536
353,1764450474.2156227,kem_handshake,0.000048329|0.000041787|0.000059519,0.00,0.00,43606016,43606016,768,768,1536
354,1764450474.2176926,kem_handshake,0.000036798|0.000032480|0.000052386,0.00,9378.60,43606016,43606016,768,768,1536
355,1764450474.2195177,kem_handshake,0.000049421|0.000051976|0.000072534,0.00,0.00,43606016,43606016,768,768,1536
356,1764450474.2221072,kem_handshake,0.000072845|0.000059660|0.000082643,0.00,0.00,43606016,43606016,768,768,1536
357,1764450474.2245045,kem_handshake,0.000039884|0.000033272|0.000054441,0.00,0.00,43606016,43606016,768,768,1536
358,1764450474.2265165,kem_handshake,0.000048630|0.000038070|0.000058368,0.00,0.00,43606016,43606016,768,768,1536
359,1764450474.228741,kem_handshake,0.000056915|0.000042178|0.000081601,0.00,0.00,43606016,43606016,768,768,1536
360,1764450474.2316408,kem_handshake,0.000102219|0.000061955|0.000105174,0.00,0.00,43606016,43606016,768,768,1536
361,1764450474.2338185,kem_handshake,0.000033472|0.000032019|0.000047538,0.00,0.00,43606016,43606016,768,768,1536
362,1764450474.2357175,kem_handshake,0.000030025|0.000031778|0.000051645,0.00,0.00,43606016,43606016,768,768,1536
363,1764450474.237659,kem_handshake,0.000059761|0.000058708|0.000085288,0.00,0.00,43606016,43606016,768,768,1536
364,1764450474.2402022,kem_handshake,0.000060271|0.000053298|0.000067264,0.00,0.00,43606016,43606016,768,768,1536
365,1764450474.2426622,kem_handshake,0.000053098|0.000057597|0.000081781,0.00,0.00,43606016,43606016,768,768,1536
366,1764450474.2455223,kem_handshake,0.000087992|0.000046185|0.000095206,0.00,0.00,43606016,43606016,768,768,1536
367,1764450474.2494617,kem_handshake,0.000125021|0.000080538|0.000116946,0.00,0.00,43606016,43606016,768,768,1536
368,1764450474.252531,kem_handshake,0.000101407|0.000070650|0.000120813,0.00,0.00,43606016,43606016,768,768,1536
369,1764450474.2555294,kem_handshake,0.000086008|0.000081721|0.000094354,0.00,0.00,43606016,43606016,768,768,1536
370,1764450474.2583635,kem_handshake,0.000086289|0.000072955|0.000117847,0.00,0.00,43606016,43606016,768,768,1536
371,1764450474.2613676,kem_handshake,0.000037880|0.000031759|0.000051485,0.00,0.00,43606016,43606016,768,768,1536
372,1764450474.263031,kem_handshake,0.000041737|0.000035605|0.000057957,0.00,0.00,43606016,43606016,768,768,1536
373,1764450474.265912,kem_handshake,0.000068697|0.000050053|0.000079116,0.00,0.00,43606016,43606016,768,768,1536
374,1764450474.2682796,kem_handshake,0.000064780|0.000062064|0.000084596,0.00,0.00,43606016,43606016,768,768,1536
375,1764450474.2703707,kem_handshake,0.000063317|0.000070640|0.000083123,0.00,0.00,43606016,43606016,768,768,1536
376,1764450474.2731204,kem_handshake,0.000068977|0.000062896|0.000121545,0.00,0.00,43606016,43606016,768,768,1536
377,1764450474.2756636,kem_handshake,0.000039272|0.000036377|0.000049331,0.00,0.00,43606016,43606016,768,768,1536
378,1764450474.278409,kem_handshake,0.000060181|0.000076281|0.000098051,0.00,0.00,43606016,43606016,768,768,1536
379,1764450474.2828088,kem_handshake,0.000063778|0.000049161|0.000105404,0.00,0.00,43606016,43606016,768,768,1536
380,1764450474.2859812,kem_handshake,0.000062305|0.000061283|0.000085267,0.00,0.00,43606016,43606016,768,768,1536
381,1764450474.288945,kem_handshake,0.000077332|0.000049591|0.000064980,0.00,0.00,43606016,43606016,768,768,1536
382,1764450474.2916682,kem_handshake,0.000058839|0.000058599|0.000050082,0.00,0.00,43606016,43606016,768,768,1536
383,1764450474.2935045,kem_handshake,0.000031698|0.000029795|0.000045945,0.00,0.00,43606016,43606016,768,768,1536
384,1764450474.2954278,kem_handshake,0.000043470|0.000037369|0.000060412,0.00,0.00,43606016,43606016,768,768,1536
385,1764450474.2977197,kem_handshake,0.000068387|0.000052427|0.000088593,0.00,0.00,43606016,43606016,768,768,1536
386,1764450474.2999294,kem_handshake,0.000036277|0.000031268|0.000045815,0.00,0.00,43606016,43606016,768,768,1536
387,1764450474.3019931,kem_handshake,0.000036838|0.000033071|0.000044312,0.00,0.00,43606016,43606016,768,768,1536
388,1764450474.3038085,kem_handshake,0.000039322|0.000036979|0.000067865,0.00,0.00,43606016,43606016,768,768,1536
389,1764450474.3057702,kem_handshake,0.000037770|0.000036788|0.000048399,0.00,0.00,43606016,43606016,768,768,1536
390,1764450474.3085985,kem_handshake,0.000056965|0.000059721|0.000105004,0.00,0.00,43606016,43606016,768,768,1536
391,1764450474.310896,kem_handshake,0.000057176|0.000058387|0.000071421,0.00,0.00,43606016,43606016,768,768,1536
392,1764450474.3139944,kem_handshake,0.000118789|0.000082422|0.000140039,0.00,0.00,43606016,43606016,768,768,1536
393,1764450474.316912,kem_handshake,0.000044983|0.000037058|0.000083133,0.00,0.00,43606016,43606016,768,768,1536
394,1764450474.319993,kem_handshake,0.000059600|0.000058908|0.000085578,0.00,0.00,43606016,43606016,768,768,1536
395,1764450474.3225741,kem_handshake,0.000064740|0.000062846|0.000098782,0.00,0.00,43606016,43606016,768,768,1536
396,1764450474.3248167,kem_handshake,0.000035265|0.000034153|0.000044482,0.00,0.00,43606016,43606016,768,768,1536
397,1764450474.326872,kem_handshake,0.000055553|0.000056965|0.000077594,0.00,0.00,43606016,43606016,768,768,1536
398,1764450474.3285034,kem_handshake,0.000028883|0.000027591|0.000038330,0.00,0.00,43606016,43606016,768,768,1536
399,1764450474.3305838,kem_handshake,0.000077172|0.000058218|0.000090277,0.00,0.00,43606016,43606016,768,768,1536
400,1764450474.3332381,kem_handshake,0.000052457|0.000054641|0.000076481,0.00,0.00,43606016,43606016,768,768,1536
401,1764450474.3354063,kem_handshake,0.000047829|0.000053890|0.000071992,0.00,0.00,43606016,43606016,768,768,1536
402,1764450474.3380547,kem_handshake,0.000085719|0.000077713|0.000121544,0.00,0.00,43606016,43606016,768,768,1536
403,1764450474.3415577,kem_handshake,0.000046826|0.000044052|0.000071883,0.00,0.00,43606016,43606016,768,768,1536
404,1764450474.3438857,kem_handshake,0.000061574|0.000060562|0.000081060,0.00,0.00,43606016,43606016,768,768,1536
405,1764450474.3474493,kem_handshake,0.000090147|0.000092360|0.000116244,0.00,0.00,43606016,43606016,768,768,1536
406,1764450474.351524,kem_handshake,0.000133186|0.000092631|0.000103391,0.00,3147.60,43606016,43606016,768,768,1536
407,1764450474.3541653,kem_handshake,0.000103211|0.000086820|0.000133306,0.00,0.00,43606016,43606016,768,768,1536
408,1764450474.3580039,kem_handshake,0.000079576|0.000058789|0.000105514,0.00,0.00,43606016,43606016,768,768,1536
409,1764450474.3609326,kem_handshake,0.000089515|0.000070941|0.000092611,0.00,0.00,43606016,43606016,768,768,1536
410,1764450474.3638709,kem_handshake,0.000077282|0.000064348|0.000138015,0.00,0.00,43606016,43606016,768,768,1536
411,1764450474.367428,kem_handshake,0.000148624|0.000124239|0.000135741,0.00,0.00,43606016,43606016,768,768,1536
412,1764450474.3698287,kem_handshake,0.000050484|0.000055753|0.000072373,0.00,0.00,43606016,43606016,768,768,1536
413,1764450474.372966,kem_handshake,0.000069288|0.000070260|0.000132575,0.00,0.00,43606016,43606016,768,768,1536
414,1764450474.3759794,kem_handshake,0.000061263|0.000057907|0.000081130,0.00,0.00,43606016,43606016,768,768,1536
415,1764450474.3787408,kem_handshake,0.000067404|0.000075419|0.000113950,0.00,0.00,43606016,43606016,768,768,1536
416,1764450474.3826501,kem_handshake,0.000076912|0.000064308|0.000090487,0.00,0.00,43606016,43606016,768,768,1536
417,1764450474.385362,kem_handshake,0.000105544|0.000116525|0.000114011,0.00,0.00,43606016,43606016,768,768,1536
418,1764450474.3878024,kem_handshake,0.000051295|0.000044773|0.000078735,0.00,0.00,43606016,43606016,768,768,1536
419,1764450474.3905404,kem_handshake,0.000089715|0.000063337|0.000082973,0.00,0.00,43606016,43606016,768,768,1536
420,1764450474.3931887,kem_handshake,0.000032500|0.000032099|0.000052126,0.00,0.00,43606016,43606016,768,768,1536
421,1764450474.3950639,kem_handshake,0.000042428|0.000049060|0.000068376,0.00,0.00,43606016,43606016,768,768,1536
422,1764450474.3972948,kem_handshake,0.000076732|0.000061143|0.000112658,0.00,0.00,43606016,43606016,768,768,1536
423,1764450474.4005783,kem_handshake,0.000087211|0.000079517|0.000102058,0.00,0.00,43606016,43606016,768,768,1536
424,1764450474.4024198,kem_handshake,0.000033031|0.000030897|0.000040084,0.00,0.00,43606016,43606016,768,768,1536
425,1764450474.4045777,kem_handshake,0.000047668|0.000066643|0.000069970,0.00,0.00,43606016,43606016,768,768,1536
426,1764450474.4072974,kem_handshake,0.000074468|0.000065241|0.000106507,0.00,0.00,43606016,43606016,768,768,1536
427,1764450474.4106941,kem_handshake,0.000050303|0.000043420|0.000069118,0.00,0.00,43606016,43606016,768,768,1536
428,1764450474.4138572,kem_handshake,0.000093573|0.000070671|0.000086991,0.00,0.00,43606016,43606016,768,768,1536
429,1764450474.4174752,kem_handshake,0.000054130|0.000047929|0.000073906,0.00,0.00,43606016,43606016,768,768,1536
430,1764450474.419865,kem_handshake,0.000062065|0.000061424|0.000084256,0.00,0.00,43606016,43606016,768,768,1536
431,1764450474.4235072,kem_handshake,0.000104954|0.000073476|0.000136332,0.00,0.00,43610112,43610112,768,768,1536
432,1764450474.426556,kem_handshake,0.000056384|0.000046326|0.000058498,0.00,0.00,43610112,43610112,768,768,1536
433,1764450474.4294488,kem_handshake,0.000091048|0.000072043|0.000112057,0.00,0.00,43610112,43610112,768,768,1536
434,1764450474.4324799,kem_handshake,0.000048419|0.000040455|0.000056094,0.00,0.00,43610112,43610112,768,768,1536
435,1764450474.4350414,kem_handshake,0.000064169|0.000095076|0.000090366,0.00,0.00,43610112,43610112,768,768,1536
436,1764450474.4376721,kem_handshake,0.000093042|0.000048700|0.000057847,0.00,0.00,43610112,43610112,768,768,1536
437,1764450474.4399538,kem_handshake,0.000096468|0.000086269|0.000146841,0.00,0.00,43610112,43610112,768,768,1536
438,1764450474.4430912,kem_handshake,0.000057497|0.000060101|0.000083293,0.00,0.00,43610112,43610112,768,768,1536
439,1764450474.445254,kem_handshake,0.000037729|0.000039683|0.000043230,0.00,0.00,43610112,43610112,768,768,1536
440,1764450474.4476416,kem_handshake,0.000068497|0.000045344|0.000064980,0.00,0.00,43610112,43610112,768,768,1536
441,1764450474.4499948,kem_handshake,0.000041256|0.000036628|0.000048499,0.00,0.00,43610112,43610112,768,768,1536
442,1764450474.452564,kem_handshake,0.000081360|0.000051164|0.000093092,0.00,0.00,43610112,43610112,768,768,1536
443,1764450474.455454,kem_handshake,0.000061764|0.000060442|0.000084566,0.00,0.00,43610112,43610112,768,768,1536
444,1764450474.4578617,kem_handshake,0.000033502|0.000032590|0.000043220,0.00,0.00,43610112,43610112,768,768,1536
445,1764450474.4597821,kem_handshake,0.000054651|0.000057927|0.000102189,0.00,0.00,43610112,43610112,768,768,1536
446,1764450474.4625413,kem_handshake,0.000056695|0.000048159|0.000072674,0.00,0.00,43610112,43610112,768,768,1536
447,1764450474.4657238,kem_handshake,0.000075499|0.000058158|0.000098151,0.00,0.00,43610112,43610112,768,768,1536
448,1764450474.4680567,kem_handshake,0.000043310|0.000033622|0.000041156,0.00,0.00,43610112,43610112,768,768,1536
449,1764450474.4697087,kem_handshake,0.000034554|0.000037229|0.000052397,0.00,0.00,43610112,43610112,768,768,1536
450,1764450474.4717712,kem_handshake,0.000046997|0.000039703|0.000064288,0.00,0.00,43610112,43610112,768,768,1536
451,1764450474.4746444,kem_handshake,0.000063107|0.000050323|0.000065651,0.00,0.00,43610112,43610112,768,768,1536
452,1764450474.47708,kem_handshake,0.000042909|0.000055483|0.000075861,0.00,0.00,43610112,43610112,768,768,1536
453,1764450474.4794092,kem_handshake,0.000067044|0.000079256|0.000077192,0.00,0.00,43610112,43610112,768,768,1536
454,1764450474.4824038,kem_handshake,0.000032359|0.000040505|0.000074948,0.00,0.00,43610112,43610112,768,768,1536
455,1764450474.4847553,kem_handshake,0.000027010|0.000030446|0.000046906,0.00,0.00,43610112,43610112,768,768,1536
456,1764450474.4862776,kem_handshake,0.000021199|0.000024506|0.000034734,0.00,0.00,43610112,43610112,768,768,1536
