Iteration,timestamp,event,time_s,cpu_before,cpu_after,mem_before,mem_after,ciphertext_bytes
53,1764450491.5647137,rsa_handshake,0.000231828|0.000076331,0.00,0.00,44363776,44363776,512
54,1764450491.5808673,rsa_handshake,0.000518938|0.000102680,0.00,0.00,44363776,44363776,512
55,1764450491.6286032,rsa_handshake,0.000261453|0.000060842,0.00,0.00,44363776,44363776,512
56,1764450491.6732893,rsa_handshake,0.000431867|0.000094494,0.00,0.00,44367872,44367872,512
57,1764450491.7223728,rsa_handshake,0.000431106|0.000114952,0.00,0.00,44367872,44367872,512
58,1764450491.7662575,rsa_handshake,0.000398896|0.000060802,0.00,0.00,44367872,44367872,512
59,1764450491.81064,rsa_handshake,0.000362439|0.000057847,0.00,0.00,44367872,44367872,512
60,1764450491.8395355,rsa_handshake,0.000343614|0.000081139,0.00,0.00,44367872,44367872,512
61,1764450491.885961,rsa_handshake,0.000452566|0.000085247,0.00,0.00,44367872,44367872,512
62,1764450491.9271097,rsa_handshake,0.000286169|0.000056534,0.00,0.00,44367872,44367872,512
63,1764450491.9784381,rsa_handshake,0.000489604|0.000099814,0.00,0.00,44367872,44367872,512
64,1764450492.0064113,rsa_handshake,0.000260441|0.000060722,0.00,0.00,44367872,44367872,512
65,1764450492.047445,rsa_handshake,0.000558631|0.000056174,0.00,0.00,44367872,44367872,512
66,1764450492.084339,rsa_handshake,0.000272653|0.000048410,0.00,0.00,44371968,44371968,512
67,1764450492.124997,rsa_handshake,0.000540117|0.000073245,0.00,1401.40,44371968,44371968,512
68,1764450492.154112,rsa_handshake,0.000298762|0.000067314,0.00,0.00,44371968,44371968,512
69,1764450492.19551,rsa_handshake,0.000543043|0.000113229,0.00,0.00,44371968,44371968,512
70,1764450492.2151124,rsa_handshake,0.000326663|0.000072825,0.00,0.00,44371968,44371968,512
71,1764450492.2470605,rsa_handshake,0.000300524|0.000076661,0.00,0.00,44371968,44371968,512
72,1764450492.2988145,rsa_handshake,0.000232970|0.000049381,0.00,0.00,44371968,44371968,512
73,1764450492.3424737,rsa_handshake,0.000279045|0.000073576,0.00,0.00,44371968,44371968,512
74,1764450492.3529155,rsa_handshake,0.000471020|0.000089135,0.00,0.00,44371968,44371968,512
75,1764450492.3761373,rsa_handshake,0.000234914|0.000053850,0.00,0.00,44371968,44371968,512
76,1764450492.40732,rsa_handshake,0.000263787|0.000060361,0.00,0.00,44376064,44376064,512
77,1764450492.4708314,rsa_handshake,0.000518006|0.000110624,0.00,0.00,44376064,44376064,512
78,1764450492.5088038,rsa_handshake,0.000288773|0.000066693,0.00,0.00,44376064,44376064,512
