Iteration,timestamp,event,time_s,cpu_before,cpu_after,mem_before,mem_after,client_ct_bytes,server_ct_bytes,total_packet_bytes
0,1764562564.604958,server_kem_keygen,0.001171324,0.00,0.00,39895040,40591360,,800,800
46,1764562605.0569437,kem_handshake,0.000024134|0.000015830|0.000032580,0.00,0.00,42934272,42934272,768,768,1536
47,1764562605.058305,kem_handshake,0.000019887|0.000016020|0.000033101,0.00,0.00,42934272,42934272,768,768,1536
48,1764562605.059395,kem_handshake,0.000021930|0.000019806|0.000033111,0.00,0.00,42934272,42934272,768,768,1536
49,1764562605.0607872,kem_handshake,0.000038151|0.000027130|0.000062074,0.00,0.00,42934272,42934272,768,768,1536
50,1764562605.062144,kem_handshake,0.000023243|0.000016731|0.000035926,0.00,0.00,42938368,42938368,768,768,1536
51,1764562605.0634995,kem_handshake,0.000034313|0.000015760|0.000033102,0.00,0.00,42938368,42938368,768,768,1536
52,1764562605.064608,kem_handshake,0.000019796|0.000015779|0.000032660,0.00,0.00,42938368,42938368,768,768,1536
53,1764562605.065698,kem_handshake,0.000018965|0.000015479|0.000032691,0.00,0.00,42938368,42938368,768,768,1536
54,1764562605.0667624,kem_handshake,0.000018555|0.000015619|0.000032580,0.00,0.00,42938368,42938368,768,768,1536
55,1764562605.0682893,kem_handshake,0.000045915|0.000041277|0.000051906,0.00,0.00,42938368,42938368,768,768,1536
56,1764562605.0696487,kem_handshake,0.000023173|0.000016761|0.000034023,0.00,0.00,42938368,42938368,768,768,1536
57,1764562605.0707748,kem_handshake,0.000020348|0.000016200|0.000032791,0.00,0.00,42938368,42938368,768,768,1536
58,1764562605.072074,kem_handshake,0.000020317|0.000016610|0.000033653,0.00,0.00,42938368,42938368,768,768,1536
59,1764562605.0731673,kem_handshake,0.000019657|0.000015809|0.000032730,0.00,0.00,42938368,42938368,768,768,1536
60,1764562605.0742776,kem_handshake,0.000022611|0.000019997|0.000040685,0.00,0.00,42942464,42942464,768,768,1536
61,1764562605.0754213,kem_handshake,0.000020267|0.000015769|0.000032680,0.00,0.00,42942464,42942464,768,768,1536
62,1764562605.0766537,kem_handshake,0.000025377|0.000019406|0.000053399,0.00,0.00,42942464,42942464,768,768,1536
63,1764562605.0781236,kem_handshake,0.000023944|0.000017132|0.000034524,0.00,0.00,42942464,42942464,768,768,1536
64,1764562605.0796902,kem_handshake,0.000021069|0.000016380|0.000032831,0.00,0.00,42942464,42942464,768,768,1536
65,1764562605.0808208,kem_handshake,0.000019896|0.000016260|0.000032871,0.00,0.00,42942464,42942464,768,768,1536
66,1764562605.0819128,kem_handshake,0.000018935|0.000015739|0.000032811,0.00,0.00,42942464,42942464,768,768,1536
67,1764562605.0832417,kem_handshake,0.000040875|0.000031909|0.000082863,0.00,0.00,42942464,42942464,768,768,1536
68,1764562605.084479,kem_handshake,0.000020067|0.000015769|0.000039483,0.00,0.00,42946560,42946560,768,768,1536
69,1764562605.0857472,kem_handshake,0.000020408|0.000016120|0.000033562,0.00,0.00,42950656,42950656,768,768,1536
70,1764562605.0868256,kem_handshake,0.000019026|0.000015719|0.000032249,0.00,0.00,42950656,42950656,768,768,1536
71,1764562605.0883944,kem_handshake,0.000037770|0.000030757|0.000064529,0.00,0.00,42954752,42954752,768,768,1536
72,1764562605.0895607,kem_handshake,0.000019566|0.000015709|0.000032760,0.00,0.00,42954752,42954752,768,768,1536
73,1764562605.0906425,kem_handshake,0.000018834|0.000015228|0.000032690,0.00,0.00,42954752,42954752,768,768,1536
74,1764562605.0917435,kem_handshake,0.000020097|0.000015929|0.000033061,0.00,0.00,42954752,42954752,768,768,1536
75,1764562605.092998,kem_handshake,0.000025948|0.000019906|0.000066413,0.00,0.00,42954752,42954752,768,768,1536
76,1764562605.0943916,kem_handshake,0.000023343|0.000017442|0.000034764,0.00,0.00,42954752,42954752,768,768,1536
77,1764562605.0955133,kem_handshake,0.000020618|0.000016831|0.000033351,0.00,0.00,42958848,42958848,768,768,1536
78,1764562605.0965955,kem_handshake,0.000019657|0.000015619|0.000032880,0.00,0.00,42958848,42958848,768,768,1536
79,1764562605.097674,kem_handshake,0.000018985|0.000015469|0.000032640,0.00,0.00,42958848,42958848,768,768,1536
80,1764562605.0987418,kem_handshake,0.000018664|0.000015740|0.000032600,0.00,0.00,42958848,42958848,768,768,1536
81,1764562605.1000266,kem_handshake,0.000020868|0.000016530|0.000033111,0.00,0.00,42958848,42958848,768,768,1536
82,1764562605.1015143,kem_handshake,0.000022592|0.000016330|0.000034053,0.00,0.00,42958848,42958848,768,768,1536
83,1764562605.1027415,kem_handshake,0.000020408|0.000016150|0.000033522,0.00,0.00,42958848,42958848,768,768,1536
84,1764562605.1038222,kem_handshake,0.000018834|0.000015628|0.000033001,0.00,0.00,42958848,42958848,768,768,1536
85,1764562605.1049168,kem_handshake,0.000018804|0.000015578|0.000035716,0.00,0.00,42958848,42958848,768,768,1536
86,1764562605.1059966,kem_handshake,0.000018895|0.000015408|0.000032600,0.00,0.00,42962944,42962944,768,768,1536
87,1764562605.1070695,kem_handshake,0.000018103|0.000015509|0.000032611,0.00,0.00,42962944,42962944,768,768,1536
88,1764562605.1081536,kem_handshake,0.000019376|0.000015659|0.000032490,0.00,0.00,42962944,42962944,768,768,1536
89,1764562605.1092594,kem_handshake,0.000018995|0.000043130|0.000039152,0.00,0.00,42962944,42962944,768,768,1536
90,1764562605.1104867,kem_handshake,0.000049862|0.000015810|0.000035085,0.00,0.00,42962944,42962944,768,768,1536
91,1764562605.111589,kem_handshake,0.000019125|0.000015349|0.000032209,0.00,0.00,42962944,42962944,768,768,1536
92,1764562605.1126642,kem_handshake,0.000018915|0.000015609|0.000032811,0.00,0.00,42967040,42967040,768,768,1536
93,1764562605.11371,kem_handshake,0.000018454|0.000015308|0.000032620,0.00,0.00,42967040,42967040,768,768,1536
94,1764562605.1147795,kem_handshake,0.000018545|0.000015428|0.000032690,0.00,0.00,42967040,42971136,768,768,1536
95,1764562605.1162684,kem_handshake,0.000063507|0.000021841|0.000034463,0.00,0.00,42971136,42971136,768,768,1536
96,1764562605.1181216,kem_handshake,0.000021029|0.000015468|0.000035426,0.00,0.00,42971136,42971136,768,768,1536
97,1764562605.119405,kem_handshake,0.000022160|0.000015749|0.000034113,0.00,0.00,42971136,42971136,768,768,1536
98,1764562605.1205952,kem_handshake,0.000019486|0.000015448|0.000032470,0.00,0.00,42971136,42971136,768,768,1536
99,1764562605.1217172,kem_handshake,0.000018765|0.000015439|0.000032841,0.00,0.00,42971136,42971136,768,768,1536
100,1764562605.122858,kem_handshake,0.000018914|0.000015468|0.000039162,0.00,0.00,42971136,42971136,768,768,1536
101,1764562605.1239426,kem_handshake,0.000026449|0.000015980|0.000032691,0.00,0.00,42971136,42971136,768,768,1536
102,1764562605.1249998,kem_handshake,0.000018454|0.000015638|0.000032710,0.00,0.00,42971136,42971136,768,768,1536
103,1764562605.1261182,kem_handshake,0.000019556|0.000015388|0.000033011,0.00,0.00,42971136,42971136,768,768,1536
104,1764562605.1273315,kem_handshake,0.000021349|0.000016962|0.000037209,0.00,0.00,42971136,42971136,768,768,1536
105,1764562605.1284297,kem_handshake,0.000018695|0.000014947|0.000032841,0.00,0.00,42971136,42971136,768,768,1536
106,1764562605.1295276,kem_handshake,0.000018775|0.000015017|0.000033001,0.00,0.00,42971136,42971136,768,768,1536
107,1764562605.1306076,kem_handshake,0.000018184|0.000015158|0.000033272,0.00,0.00,42971136,42971136,768,768,1536
108,1764562605.1316628,kem_handshake,0.000018074|0.000014978|0.000032720,0.00,0.00,42971136,42971136,768,768,1536
109,1764562605.1328301,kem_handshake,0.000020699|0.000016811|0.000034674,0.00,0.00,42971136,42971136,768,768,1536
110,1764562605.133982,kem_handshake,0.000020629|0.000016691|0.000033262,0.00,0.00,42971136,42971136,768,768,1536
111,1764562605.135487,kem_handshake,0.000041927|0.000033131|0.000036578,0.00,0.00,42971136,42971136,768,768,1536
112,1764562605.136617,kem_handshake,0.000020188|0.000015699|0.000032360,0.00,0.00,42971136,42971136,768,768,1536
113,1764562605.1376984,kem_handshake,0.000019296|0.000015829|0.000032690,0.00,0.00,42971136,42971136,768,768,1536
114,1764562605.1387506,kem_handshake,0.000018725|0.000015819|0.000032590,0.00,0.00,42971136,42971136,768,768,1536
115,1764562605.1398082,kem_handshake,0.000019005|0.000015318|0.000032570,0.00,0.00,42971136,42971136,768,768,1536
116,1764562605.1409345,kem_handshake,0.000025397|0.000016531|0.000032871,0.00,0.00,42971136,42971136,768,768,1536
117,1764562605.1419818,kem_handshake,0.000018504|0.000015178|0.000032219,0.00,0.00,42971136,42971136,768,768,1536
