Iteration,timestamp,client_keygen_s,client_enc_s,client_dec_s,server_enc_s,server_dec_s,ciphertext_bytes
41,1764562627.2083747,0.024931663,0.000049582,0.000434913,0.000033331,0.000275408,512
42,1764562627.2522051,0.040373703,0.000059800,0.000497208,0.000040104,0.000274156,512
43,1764562627.2718518,0.016589189,0.000044121,0.000440844,0.000058559,0.000431798,512
44,1764562627.3174217,0.042269776,0.000057967,0.000442637,0.000081591,0.000534768,512
45,1764562627.3463085,0.025635783,0.000068076,0.000449801,0.000039574,0.000402533,512
46,1764562627.3684623,0.018247804,0.000072524,0.000561076,0.000059350,0.000456213,512
47,1764562627.3860157,0.014295832,0.000109162,0.000440965,0.000048480,0.000338245,512
48,1764562627.4120889,0.022961322,0.000075780,0.000445132,0.000045694,0.000245113,512
49,1764562627.45565,0.039443014,0.000112558,0.000448669,0.000041106,0.000413995,512
50,1764562627.5038493,0.044222985,0.000087251,0.000667123,0.000039694,0.000341160,512
51,1764562627.5334363,0.026564790,0.000070861,0.000442577,0.000034344,0.000420447,512
52,1764562627.552844,0.016425748,0.000043651,0.000440925,0.000036187,0.000331994,512
53,1764562627.5735111,0.017602622,0.000042959,0.000630955,0.000039273,0.000280849,512
54,1764562627.6051006,0.028855803,0.000064810,0.000450753,0.000035926,0.000238872,512
55,1764562627.6234088,0.015455585,0.000049411,0.000431898,0.000032891,0.000368501,512
56,1764562627.6528044,0.026229301,0.000059981,0.000487140,0.000039583,0.000280168,512
57,1764562627.7136886,0.056950360,0.000090778,0.000455702,0.000039222,0.000443940,512
58,1764562627.755555,0.038665026,0.000051926,0.000443079,0.000038671,0.000418133,512
59,1764562627.783221,0.024928086,0.000055021,0.000444602,0.000034113,0.000268016,512
60,1764562627.8031855,0.016923036,0.000057677,0.000454680,0.000035586,0.000227510,512
61,1764562627.8322074,0.025682150,0.000071452,0.000442448,0.000065020,0.000445143,512
62,1764562627.8721862,0.036075752,0.000085068,0.000803475,0.000080619,0.000538064,512
63,1764562627.8993688,0.024423964,0.000063477,0.000440704,0.000036647,0.000420427,512
64,1764562627.9264479,0.023571510,0.000071241,0.000689384,0.000042128,0.000288133,512
65,1764562627.9530838,0.022645829,0.000068847,0.000828100,0.000054841,0.000652085,512
66,1764562627.991278,0.034866588,0.000067334,0.000673064,0.000056154,0.000237138,512
67,1764562628.022079,0.027359248,0.000054311,0.000459358,0.000043780,0.000409977,512
68,1764562628.0697398,0.044327558,0.000081521,0.000452796,0.000042729,0.000249221,512
69,1764562628.0891335,0.016414076,0.000053018,0.000443699,0.000036547,0.000329038,512
