Iteration,timestamp,event,time_s,cpu_before,cpu_after,mem_before,mem_after,ciphertext_bytes
0,1764562564.6322927,server_rsa_keygen,0.023671224,0.00,84.10,42201088,42291200,
56,1764562627.651632,rsa_handshake,0.000280168|0.000039583,0.00,0.00,43696128,43696128,512
57,1764562627.7125065,rsa_handshake,0.000443940|0.000039222,0.00,0.00,43696128,43696128,512
58,1764562627.7545037,rsa_handshake,0.000418133|0.000038671,0.00,0.00,43696128,43696128,512
59,1764562627.7822611,rsa_handshake,0.000268016|0.000034113,0.00,0.00,43696128,43696128,512
60,1764562627.802191,rsa_handshake,0.000227510|0.000035586,0.00,0.00,43696128,43696128,512
61,1764562627.8312755,rsa_handshake,0.000445143|0.000065020,0.00,0.00,43696128,43696128,512
62,1764562627.8705003,rsa_handshake,0.000538064|0.000080619,0.00,0.00,43696128,43696128,512
63,1764562627.8984945,rsa_handshake,0.000420427|0.000036647,0.00,0.00,43696128,43696128,512
64,1764562627.9250464,rsa_handshake,0.000288133|0.000042128,0.00,0.00,43696128,43696128,512
65,1764562627.9516256,rsa_handshake,0.000652085|0.000054841,0.00,0.00,43696128,43696128,512
66,1764562627.9900775,rsa_handshake,0.000237138|0.000056154,0.00,0.00,43696128,43696128,512
67,1764562628.020981,rsa_handshake,0.000409977|0.000043780,0.00,0.00,43696128,43696128,512
68,1764562628.068708,rsa_handshake,0.000249221|0.000042729,0.00,0.00,43696128,43696128,512
69,1764562628.0881927,rsa_handshake,0.000329038|0.000036547,0.00,0.00,43696128,43696128,512
70,1764562628.101521,rsa_handshake,0.000215849|0.000033452,0.00,0.00,43696128,43696128,512
71,1764562628.1415648,rsa_handshake,0.000432248|0.000086830,0.00,0.00,43696128,43696128,512
72,1764562628.1566086,rsa_handshake,0.000304954|0.000032229,0.00,0.00,43696128,43696128,512
73,1764562628.1912036,rsa_handshake,0.000429513|0.000084786,0.00,0.00,43696128,43696128,512
74,1764562628.2558904,rsa_handshake,0.000421098|0.000064098,0.00,0.00,43696128,43696128,512
75,1764562628.2754471,rsa_handshake,0.000366297|0.000065190,0.00,0.00,43696128,43696128,512
76,1764562628.3462648,rsa_handshake,0.000281761|0.000035536,0.00,2507.90,43696128,43696128,512
